municipio;homens;mulheres;branca;preta;amarela;parda;indigena;ignorado;urbana;rural;comorbidades
São José do Sul;1052;1030;2034;8;;37;3;;720;1362;237
São José dos Ausentes;1693;1597;2420;182;38;650;;;2062;1228;368
São Leopoldo;104242;109845;183896;10033;563;19303;292;;213238;849;24633
São Lourenço do Sul;21623;21488;38380;2874;122;1727;8;;24237;18874;4341
São Luiz Gonzaga;16827;17729;27691;686;248;5909;22;;30508;4048;3264
São Marcos;9859;10244;17765;406;97;1825;10;;17598;2505;2259
São Martinho;2838;2935;5075;125;78;476;19;;3441;2332;511
São Martinho da Serra;1647;1554;3050;46;1;104;;;942;2259;307
São Miguel das Missões;3880;3541;5491;121;19;1628;162;;3727;3694;750
São Nicolau;2906;2821;4180;78;8;1430;31;;3692;2035;498
São Paulo das Missões;3228;3136;5314;187;23;839;1;;2199;4165;543
São Pedro da Serra;1683;1632;3190;59;3;63;;;1429;1886;414
São Pedro das Missões;932;954;1346;60;11;469;;;532;1354;203
São Pedro do Butiá;1456;1417;2591;69;3;210;;;1209;1664;298
São Pedro do Sul;8050;8318;14136;343;46;1834;9;;11929;4439;1557
São Sebastião do Caí;10738;11194;19336;699;28;1848;21;;17608;4324;2651
São Sepé;11777;12021;19076;2636;104;1941;41;;18821;4977;2252
São Valentim;1811;1821;3101;102;8;420;1;;1744;1888;302
São Valentim do Sul;1112;1056;2003;62;1;102;;;746;1422;215
São Valério do Sul;1375;1272;1408;48;8;139;1044;;510;2137;257
São Vendelino;994;950;1838;9;9;88;;;1353;591;253
São Vicente do Sul;4206;4234;6480;232;10;1717;1;;5881;2559;873
Sapiranga;36989;37996;63613;1532;449;9357;34;;72286;2699;8680
Sapucaia do Sul;63747;67210;113378;6729;300;10423;127;;130469;488;14519
Sarandi;10269;11016;16880;451;93;3830;31;;17940;3345;2545
Seberi;5349;5548;8916;183;28;1767;3;;5923;4974;1024
Sede Nova;1531;1480;2353;82;16;559;1;;1581;1430;287
Segredo;3698;3460;5079;156;86;1836;1;;1807;5351;761
Selbach;2403;2526;4169;91;19;643;7;;3450;1479;505
Senador Salgado Filho;1407;1407;2538;72;9;195;;;880;1934;277
Sentinela do Sul;2666;2532;4307;304;25;560;2;;1282;3916;559
Serafina Corrêa;7099;7154;12750;407;54;1040;2;;12054;2199;1837
Sério;1190;1091;2181;19;4;77;;;530;1751;195
Sertão;3045;3249;5049;341;63;836;5;;3387;2907;522
Sertão Santana;2934;2916;5170;229;85;366;;;1278;4572;652
Sete de Setembro;1082;1042;1823;6;4;291;;;494;1630;188
Severiano de Almeida;1942;1900;3636;31;8;161;6;;1399;2443;350
Silveira Martins;1227;1222;2075;101;17;256;;;1091;1358;212
Sinimbu;5217;4851;8478;105;129;1352;4;;1437;8631;1019
Sobradinho;6992;7291;11159;507;125;2485;7;;11347;2936;1543
Soledade;14729;15315;24440;784;209;4581;30;;24032;6012;3083
Tabaí;2102;2029;3804;84;13;221;9;;1246;2885;468
Tapejara;9392;9858;16266;362;63;2539;20;;17080;2170;2694
Tapera;5093;5355;9246;184;12;1006;;;8820;1628;1039
Tapes;8167;8462;13050;1649;36;1874;20;;14478;2151;1671
Taquara;26866;27777;47218;2326;159;4902;38;;45266;9377;5774
Taquari;12689;13403;24348;952;47;729;16;;21875;4217;2637
Taquaruçu do Sul;1517;1449;2222;130;4;594;16;;1164;1802;298
Tavares;2777;2574;4345;348;11;644;3;;3299;2052;521
Tenente Portela;6713;7006;9885;193;20;1624;1997;;8847;4872;1266
Terra de Areia;4959;4919;9007;320;9;537;5;;5195;4683;1136
Teutônia;13523;13749;25056;686;35;1477;18;;23322;3950;3557
Tio Hugo;1372;1352;2152;15;16;539;2;;1164;1560;317
Tiradentes do Sul;3268;3193;5661;129;39;632;;;2098;4363;501
Toropi;1561;1391;2657;56;20;219;;;611;2341;270
Torres;16835;17821;31508;945;52;2009;142;;33340;1316;3901
Tramandaí;20095;21490;36855;1405;67;3128;130;;40577;1008;5043
Travesseiro;1171;1143;2230;11;2;70;1;;887;1427;218
Três Arroios;1428;1427;2831;4;1;19;;;1027;1828;251
Três Cachoeiras;5156;5061;9769;96;26;314;12;;7501;2716;1138
Três Coroas;11837;12011;20149;803;103;2777;16;;20546;3302;3001
Três de Maio;11484;12242;20612;225;91;2793;5;;18962;4764;2371
Três Forquilhas;1512;1402;2566;228;11;106;3;;385;2529;268
Três Palmeiras;2210;2171;2943;206;34;807;391;;2090;2291;399
Três Passos;11751;12214;21359;353;53;2184;16;;19054;4911;2376
Trindade do Sul;2884;2903;4234;279;67;1201;6;;2899;2888;563
Triunfo;12933;12860;22568;1129;66;1993;37;;16857;8936;3000
Tucunduva;2817;3081;5062;196;36;602;2;;4035;1863;536
Tunas;2278;2117;3524;65;27;761;18;;1375;3020;476
Tupanci do Sul;816;757;1355;57;53;108;;;473;1100;149
Tupanciretã;10864;11417;17826;893;133;3420;9;;18020;4261;2376
Tupandi;2068;1856;3797;31;1;94;1;;2721;1203;533
Tuparendi;4146;4411;7848;24;7;678;;;5294;3263;742
Turuçu;1778;1744;3149;133;13;227;;;1487;2035;330
Ubiretama;1183;1113;2175;15;1;105;;;500;1796;211
União da Serra;797;690;1437;12;7;31;;;280;1207;93
Unistalda;1245;1205;2040;26;4;380;;;913;1537;224
Uruguaiana;61009;64426;94279;5576;416;25033;131;;117415;8020;12441
Vacaria;30083;31259;45755;2494;692;12325;76;;57339;4003;6535
Vale Verde;1652;1601;2918;140;26;168;1;;882;2371;340
Vale do Sol;5597;5480;9470;414;257;936;;;1249;9828;1227
